"CODE","AET_ID","NUMMER","CODE_1","BEGINJAAR","EINDJAAR","DATERING","BESCHRIJVING","NOTABENE"
"27",4,299,"",1860,1860,"","1860 rolnrs. 3101, 3102, 3103, 3104, 3107, (3108 zie 3076), 3111, 3112, 3116, 3117, 3120",""
"27",4,325,"",1864,1864,"","1864 rolnrs. 3575, 3577 en 3586, 3579, 3580, 3583, 3584, 3585, (3586 zie 3577), 3590, 3592",""
"27",4,360,"",1868,1868,"","1868 rolnrs. 4236, 4237, (4238 zie 4215), 4239, 4242, 4245, 4247, 4248, 4249",""
"2295",4,,"--",1717,1717,"","zie inv.nr. 1804, minuten van verzonden stukken, 1814-1885",""
"823",4,264,"",,,"3-3-88'","'50 Jaar Poëzie en muziek - opname vlak na een huisconcert - Wilma van Amerongen, piano; Nanette van Amerongen, viool; Hans van Ditmarsch, cello; Jan van Amerongen, poëzie -",""
"176",5,731,"",1639,1639,"1639, febr. 16","Akte van transport door Jan Willemsz. Langeneel en Jan Cornelisz. als echtgenoot van Dingnum Willems aan Henrick van den Hove, schepen van Haarlem, van de noorderhelft van een stuk land in de ban van Tetrode, groot in 't geheel 1159 roeden, waarvan de zuiderhelft aan de koper toebehoort","1) Uithangend zegel beschadigd; zie ook inv. nr. 728. <ZR>2) Aankoop als voren"
"187",5,3659,"",1887,1896,"1887-1896","****** Register van hetgeen in den mobilisatievoorraad is ontvangen of daaruit uitgegeven aan slagverband","Heeft tegelijk betrekking op hetgeen ontvangen en uitgegeven is aan kleding en levensmiddelen, zie de nummers 3645 en 3682*"
"488",5,8,"",1943,1949,"1943 dec. 8-1949","Register van aantekening hoger beroep in strafzaken","Voor de jaren 1940-1943 nov 3 zie toegang 527 Kantongerecht Hoorn 1930-1939 inv.nr. 8"
"64",5,568,"",1855,1934,"1855-1934","Bekrachtiging van de benoeming van leden van de afdeling Natuurkunde","Vanaf 1935 geborgen bij de benoemingen, zie inv.nr. 567"
"151.1",5,,"--",1544,1544,"1544","Benningbroek","zie Sijbekarspel"
"2184",5,,"--",1942,1943,"1942-1943","Circulaires van het Ministerie van Justitie over de bewakingsvoorschriften van vitale gebouwen en bedrijven door de hulppolitie","zie inv.nr.510"
"3986",5,12,"",,,"","Akte van transport voor schout en schepenen van Spaarnwoude door Teunis Westerman te Sloten aan Hendrik Vriesekoop van een boerderij met erf en werf aan de oostzijde van de Liedeweg, ten noorden de erven van Mees Witteman; vervolgens 14 morgen en 30 roeden weiland in de Binnenpolder van Spaarnwoude achter en ter zijde van de woning, ten zuiden de trekvaart, ten oosten de watering en ten noorden de erven Witteman; vervolgens 1 morgen en 360 roeden in de Rottepolder, ten noorden de trekvaart, ten oosten Willem Willink jr., ten zuiden Christiaan Leest en Willem Borski; vervolgens 150 roeden land buiten de Rottepolder, ten oosten het Voorwegje, ten noorden Klaas Mol, ten westen de Buitenliede en ten zuiden de Batterij; voor een bedrag van f 4850,- waarvan een gedeelte de overname van de schuld van Teunis Westerman aan Jan van der Lubbe is, 1809; met aantekeningen op een van de akten van de jaarlijkse schuldaflossing over de periode 1813-1825; authentieke afschriften; met retroacta, 1727-1806","Voor een specificatie van de retroacta: zie de bijlage: beschrijving nrs. 1-7."
"3986",5,20,"",,,"","Retroacta behorend bij het eigendom van vijf percelen weiland in de Rottepolder, groot 7 morgen en 227 roeden, 1764-1846; met een lijst van archiefstukken die betrekking hebben op deze percelen in de periode 1776-1862; met aanvullingen uit 1828 en 1862","In 1861 zijn deze percelen weiland aan Hendrik Vriesekoop verkocht. Voor een specificatie van de retroacta: zie de bijlage: beschrijving nrs. 18-32."
"1083",5,1136,"",1942,1942,"1942","""Hoe voor honderd jaren ene katholieke kerk tot stand kwam..."", gedenkschrift bij het eeuwfeest der eerste steenlegging, door pater Eduard de Graaf ofm","In tweevoud aanwezig; het is het eerste hoofdstuk van het later verschenen boek ""Honderd jaren geschiedenis.."", zie inv.nr. 1137"
"1032",5,191,"",1752,1756,"1752/53, 1756/57","Rekeningen van ontvangst en afdracht van het Hondsbos morgengeld en de verpondingen","In de rekeningen 1720/21- 1751/52 zijn eveneens rekeningen inzake de ontvangst en afdracht van de verponding en Hondsbos morgengeld opgenomen (zie nr. 43)"
"3795",5,130,"",1939,1964,"1939-1964","Stukken aangaande de waterverontreiniging door Hilarius Draadindustrie N.V","zie ook inv.nr. 93"
"1614",5,75,"",,,"18e eeuw","Genealogie van de geslachten Van Persijn en Van Nyenrode, uitgewerkt in vrouwelijke lijnen tot c. 1740, met latere aanvullingen en kopieën van stukken betreffende deze familie over de jaren 1457-1627, welke in de inventaris zijn beschreven","Index van familienamen zie inv. nr. 113"
"3501",5,119,"",1857,1860,"1857-1860","Brieven van de heer J. Wolff, gewezen onderwijzer aan de opgeheven Departementsschool, aan het Departement betreffende zijn huisvesting in het gebouw van de voormalige Departementsschool, Gedempte Oude Gracht 8","zie ook inv.nr. 438"
"1949",5,,"--",1929,1945,"1929-1945","Bouwvergunningen","Geordend op vergunningnummer; zie afzonderlijke serie 1911-heden."
"3806",5,448,"",1959,1964,"1959-1964","Balansen","zie ook de bijlagen bij de rekeningen inv. nrs 547-591."
"2372",5,2320,"",1959,1974,"1959-1974","Principebesluiten tot subsidiëring van de Vereniging voor Jeugdwerk te Bloemendaal ten behoeve van de exploitatie van een jeugdhuis en badhuis aan de Donkerelaan","In 1974 is het jeugdhuis omgezet in het dorpshuis; zie voor het vervolg bij inv.nr. 2306"
"5001",5,,"",,,"","Zijlweg, om niet aanvaarden van grond aan de -, kad. Haarlem II, sectie T, nrs. 743 ged., 1604 ged. en 1459 ged. en aankopen van grond, kad. Haarlem II, sectie T, nr. 1459 ged.","zie inv.nr. 2659"
"5001",5,,"",,,"","Oranjestraat 155","zie inv.nr. 2895"
"5009",5,350,"",1986,1992,"1986-1987, 1992","Houtmarkt 7, Vernhout & Van Sluyters Offset B.V.; nieuwe de gehele inrichting omvattende vergunning voor een offsetdrukkerij en cartonnagefabriek met een aardgas-meetinstallatie alsmede aanvraag lozingsvergunning","aanduiding op gele sticker (binnenzijde map): 'in 1994 failliet zie RPHM'"
"358.62",5,6,"",1884,1889,"1884 (nrs. 11-20)-1889","","1884 (nrs. 1-10) zie nr. 5."
"5001",5,,"",,,"","Klaverstraat 23","zie inv.nr. 20423"
"724",5,,"",1991,1995,"1991-1995","Stukken betreffende arbeidsbescherming en veiligheid (ARBO) en milieu","zie ook 2860"
"501",4,414,"",1935,1939,"","1935-1939","voor het jaar 1930 zie toegangsnummer 207, inv. nr. 558"
"542",4,340,"",1965,1965,"1965","BREEDBANDWALSERIJ. Vergunning aanbrengen van een diktemeter nabij de 42"" tandemhardingswals","zie ook bij BREEDBAND N.V"
"2148",4,51,"",2001,2002,"2001-2002","","1. Hierin alle archiefstukken betreffende de NPB vanaf april 2001 t/m zomer 2002, voorzover niet opgenomen in andere inventarisnummers; <ZR>2. Voor stukken betreffende onderhandelingen en verkoop van het kerkgebouw zie inventarisnummer 101; <ZR>3. Zie ook inventarisnummer 132"
"2046",4,469,"",1932,1932,"1932","Akte van erfpacht en voorschot","zie voor stukken betreffende het bouwen van 29 woningen aan de Donkerelaan, 1938-1944 het archiefblok 1940-1988"
"2046",4,526,"",1929,1938,"1929-1938","Rijnegom III, wegen in het park","Schroeder van der Kolkweg, zie inv.nr. 457"
"83.2",4,,"--",,,"","Groet","zie ook Broek op Langedijk en Schagen"
"83.2",4,,"--",,,"","Blokker","zie Ursem"
"1105",5,169,"",,,"","VERVALLEN. Zie Stadsbestuur Haarlem 1573-1813 inv. nr. 3823",""
"1105",5,256,"",,,"","VERVALLEN. Zie Stadsbestuur Haarlem 1573-1813 inv. nrs. 5287 en 5800",""
"1503",5,612,"",,,"","Staten van verantwoording behorende bij jaarrekeningen, 1814-1817. N.B. Dit zijn dubbelen of kladexemplaren van wat zich in de inv.nrs. 3452-3455 van het Gemeentebestuur van Haarlem bevindt. Niet goedgekeurd door Gedeputeerde Staten; rekening 1813, concept; rekeningen, 1899-1900, 1912-1915  ",""
"18",4,3632,"",1873,1943,"","Koegras, het, polder, 1873-1938 <ZR>Koetenburg, polder, 1914-1925 <ZR>Kogerpolder, 1905-1943 <ZR>Kolk van Dussen, de, polder, 1905-1925. Zie ook inv.nr. 4099. <ZR>Koog- en Bleekmeerpolder, 1905-1927 <ZR>Kortenhoef, polder, 1906-1941. Betreft ook de vaststelling en goedkeuring van een bijzonder reglement van bestuur voor de Aetsveldsche polder, 1906-1908, en de wijziging van het bijzonder reglement van bestuur voor de Meeruiterdijksche polder, 1939-1940. Zie ook de inv.nrs. 3656, 3680 en 4554. <ZR>Krommenie, polder, 1905 <ZR>Kuil op Texel, de, polder, 1906. Zie ook inv.nr. 3630. <ZR>Kuijerpolder, 1905-1906",""
"3",4,755,"",,,"","Bijlagen bij inv.nrs. 747-752 betreffende ""Z.D.H. en H.K.H.""",""
"151.1",5,,"--",,,"","Vogelenzang","zie Bloemendaal"
"216",5,9,"",1935,1940,"1935-1940","Klapper op het register van strafzaken","Over de jaren 1927-1934 zie periode 1921-1930, nr.21"
"3819",5,667,"",1678,1678,"1678","Akte van transport door Jannetje Kors, weduwe van Hendrick Kock van de opstal van een huis staande op erfpachtgrond van de heer van Bennebroek","Met een kaart; zie ook Atlas van het Noord-Hollands Archief, nr. 51-1268"
"1583",5,156,"",1815,1815,"1815","Akten van verkoop van hakhout te Nieuwerkerk aan de Drecht","Tussen 1812 en 1817 maakte Nieuwerkerk deel uit van de Verenigde Gemeente Spaarnwoude, zie verder inv. nr. 606"
"3652",5,256,"",1714,1714,"1714 (LC)","Brief van 'le Maistre de Marais' te Parijs aan zijn 'tres cher cousin'","Het is niet duidelijk aan wie deze brief gericht is. De afzender is vermoedelijk een zoon van Jacques le Maistre en Jeanne Crommelin (zie ook inventarisnummer 155 en genealogisch schema J). Hij meldt dat de papieren van zijn vader berusten onder Hendrik Crommelin, daarom kan genoemde Hendrik niet degene zijn aan wie de brief gericht is. Verder vermeldt de afzender 'cousine Bion', 'cousine Rogier' (= le Rouzier) en 'cousin Benjamin', alle drie kinderen van Samuel Crommelin en Madelaine Testart. Het lijkt daarom aannemelijk dat de geadresseerde in die kringen gezocht moet worden."
"3654",5,1878,"",1952,1960,"1952-1960","Stukken betreffende de Algemene Stichting voor Huisvesting van Bejaarden te Haarlem, afkomstig van de diaken L.H. Heyligers, die gedurende de periode 1952-1960 lid van het stichtingsbestuur was","Specificatie van de stukken zie onder rubriek 17 van de inventaris."
"1518",5,,"--",1963,1970,"1963-1970","Tekeningen van het pand Raamsingel 2 gedurende de huisvesting van Sociale Zaken","voor tekeningen zie microkaartenbestand van O.W. Bouwkunde serie 70, zie bijlage 3"
"637",5,164,"",1982,1992,"1982-1992","Bestek met tekeningen voor de verbouwing en nieuwbouw van het magazijn en de inkoopafdeling","Met hiaten, zie ook het archief 'Toezicht op de Provinciale Ziekenhuizen', inventarisnummer 2, nummer 520"
"313",5,399,"",1869,1884,"1869 mei 14-1884 jun. 23","Inschrijvingsregister (nr. 4) van de vrouwelijke gevangenen (onveroordeelden)","Voortgezet als inschrijvingsregister van mannen en vrouwen, zie inv.nr. 400. Voor naamindices 1869-1884, zie inv.nrs. 720-721"
"427",5,320,"",1962,1968,"1962-1968","Notulen van de Contactcommissie Bedrijfsleven-Staatsvissershavenbedrijf","De Contactcommissie volgde de Commissie Rederij-Groothandel op, die in februari 1958 voor laatst bijeen was gekomen, en behartigde de belangen van het IJmuider visserijbedrijf. Zitting in de commissie hadden afgevaardigden van het Staatsvissershavenbedrijf, de Stichting Nederlandse Visserij en de Visfederatie (zie eveneens inv.nr. 318)"
"5001",5,,"",,,"","Gasthuisstraat 2","zie inv.nr. 1837"
"5001",5,,"",,,"","Conradweg, kad. Haarlem II, sectie N, nr. 1009 ged. aan B.V. Nederland Haarlem","zie inv.nr. 2408"
"5001",5,,"",,,"","Prinses Beatrixplein, Prins Bernhardplein en Kromhoutlaan, kad. Haarlem II, sectie P, nr. 1212 ged. aan het R.-K. kerkbestuur der parochie van de H. Pastoor van Ars","zie inv.nr. 2432"
"5001",5,,"",,,"","Koolsteeg/Lange Herenvest, kad. sectie D, nrs. 9109, 9073, 9072, 3011 en 3012 van Wildschut b.v. en R.B. en C. Wildschut","zie inv.nr. 2594"
"5001",5,,"",,,"","Oost-Indiëstraat 8","zie inv.nr. 2895"
"1831",5,61,"",1952,1952,"1952","Verklaring van een kaarswijding door de pastoor bij de viering van Maria Boodschap","Voor de verklaring van de Latijnse tekst, zie rubriek 7.1."
"807",5,,"",1941,1941,"1941","Maaike Elisabeth Leupen 1941-? (336); Geboortekaartje","Dochter van J.A. Leupen (82) en Corri Marianne Metz (317), zie voorlopig nummer 89."
"724",5,,"",1963,1975,"1963-1975","Functie- en taakomschrijvingen van de directies en directeurs","zie ook onder Benoeming en vervulling en Organisatie en bestuur"
"807",5,,"",1818,1881,"[1818]-1881","Pieter Aerent / Arend Leupen 1808-1881 (63)","Zoon van J. Leupen (31) en C. Elandt-Leupen (66), zie voorlopig inventarisnummers 103, 133, 86 en 132;"
"184",4,743,"",1645,1646,"","1645, 15 juni-1646, 28 dec","Enkele akten, gedateerd in latere jaren. Voor tafel zie inv.no. 742"
"187",4,3810,"",1904,1905,"","* 1904 januari 1-1905 oktober 14","Hierin ook uitgaande brieven over 1902 januari 17-1905 oktober 13, en looporders over 1904 februari 12- 1905 augustus 8, zie nummers 3795 en 3793*"
"88",4,398,"",,,"","2727-2747, 2749-2751, 2753-2755, 2757-2759, 2761-2763","voor nr. 2756 zie nr. 3794"
"3872",4,139,"",1924,1924,"1924","P. Teding van Berkhout, Leidsevaartweg","zie ook inv.nr. 124"
"3872",4,176,"",1927,1927,"1927","C. van der Leek, Valkenburgerlaan","zie ook inv.nr. 188"
"2182",4,25,"",1914,1915,"1915 januari 25 - december 23. Met lijst van ingekwartierde Belgische vluchtelingen over de periode oktober 1914 - januari 1915","","Voor Belgische vluchtelingen en andere vreemdelingen zie ook de nrs. 807 e.v."
"83.2",4,,"--",,,"","Schermerhorn","zie ook Schagen"
"83.2",4,,"--",,,"","Bovenkarspel","zie Andijk"
"3714",4,9,"",,,"","Index op inv.nr. 8",""
"476",4,664,"",1142,1889,"","1887-1889, inv.nrs A 11422-15250","Deze bescheiden zijn te raadplegen op microfiche en/of als scan in de studiezaal van het Noord-Hollands archief."
"396",5,304,"",1942,1955,"1942-1955","Ingekomen en kopieën van uitgaande stukken","Voor de toegang zie inv. nrs. 261 en 262"
"137",5,152,"",,,"","Neeltje Merens (Baert) (1848-1928), gehuwd met Charles de Hoog in 1871.
<ZR>Kennisgevingen van ondertrouw en overlijden","Familie de Hoog zie nummer 262.
<ZR>Kinderen uit dit huwelijk:
Jeane Geertruide Antoinette (1872-?)
Jean Christian (1874-?)"
"137",5,158,"",,,"","Olografisch testament","Verbeteringen op genealogie Merens door A. Merens (Burck) zie nr 3-b; aantekenboekjes, enz. nrs 345, 346."
"137",5,216,"",,,"","Henri Alexander Theodoor Merens (Bakker) (1845-1915), gehuwd met Wilhelmina Caroline Philipine Sijthoff
<ZR>Pakket met correspondentie betreffende H.A.T. Merens","Geslacht Sijthoff zie nr 276"
"151.1",5,,"---",,,"","Gooiland","zie Kennemerland"
"151.1",5,,"--",,,"","Rinnegom","zie Egmond-Binnen"
"377",5,109,"",1962,1963,"1962-1963","Stukken betreffende de oprichting van een commissie voor pastorale zorg voor gerepatrieerden in Noord-Holland","Voor gerepatrieerdenzorg, zie ook inventarisnummers 886-889"
"5001",5,,"",,,"","Camphuijsstraat 1a","zie inv.nr. 1512"
"5001",5,,"",1962,1962,"1962","Onderbrengen van de werkzaamheden van het bureau voor school- en beroepskeuze bij de Geneeskundige en Gezondheidsdienst","zie bij  'opheffen van het Bureau voor School- en Beroepskeuze'"
"1083",5,792,"",1956,1959,"1956-1959","Kasboek van de uitgaven die krachtens art. 101 van de lager onderwijswet via de gemeente werden gesubsidieerd","Voor de jaren 1952-1953 zie inv.nr. 791"
"2162",5,141,"",1980,1980,"(1980)","Registratuurschema betreffende bij de Dienst gebezigde codes inzake uit te voeren werkzaamheden en voorkomende zaken","zie ook de klapper onder inventarisnummer 140"
"2148",5,77,"",1961,1970,"1961-1962, 1967-1970 en zonder datum","Jaarverslagen van de Zondagsschool en 'Verteluren'","Voor andere jaren zie de algemene jaarverslagen."
"1379",5,844,"",1974,1975,"1974-1975","Stukken betreffende de tentoonstelling ""Dit is onze zorg"", gehouden in het Frans Halsmuseum in samenwerking met het Rosenstock Heussyhuis van 8 februari-30 maart","zie ook inv.nr. 56"
"1023",5,279,"",1951,1953,"1951-1953","Stukken betreffende uit onderhoud van het dijkje van het land ""De Punt"" aan de Buitenliede in de Rottepolder","zie ook inv.nr. 261."
"5001",5,,"",,,"","Sophiastraat 2c","zie inv.nr. 2907"
"5001",5,,"",,,"","Van Hogendorpstraat","zie inv.nr. 2544"
"911",5,223,"",1992,1995,"1992-1995","Vaststelling van de regeling besteding commissarisvergoedingen te besteden voor bijdragen fractiewerkzaamheden","Deze regeling is toegezegd bij behandeling van vaststelling reglement provinciale commissarissen zie inventarisnummer ."
"3405",5,32,"",1968,1973,"1968-1969, 1971-1973","Financiële jaarverslagen","Voor andere jaren zie ook de inv.nrs. 12 en 13."
"1451",5,,"--",1940,1950,"1940-1950","Presentielijsten van de vergaderingen van de kerkvoogdij","zie inv.nr. 459"
"2484",5,6404,"HBA",1963,1972,"1963 t/m 1972","Correspondentie en stukken betreffende het drukken van bankbiljetten voor Portugal Verzendlijsten, offertes, etc <ZR>Bank van Portugal","Deel 1; zie ook deel 2: HBA 6405 (Archiefdoos 232/02); Bankbiljetten"
"1147",5,657,"",2006,2006,"2006","(Kopie) van de Outplacementregeling gewezen wethouders","zie ook voorl. nummer 726 "
"1147",5,1980,"",2002,2008,"2002-2008","programma van eisen voor nieuwbouw brandweerkazerne","zie voor bouw toegang 1148 Gemeentebestuur van Zandvoort 2008-2013"
"912",5,150,"",1995,1995,"1995","Akte van benoeming van A.Th. van Deursen tot Ridder in de Orde van de Nederlandse Leeuw","Voor digitale opname, zie plaatsingslijstnummer 258."
"2270",5,6949,"",1992,1992,"1992","Pol 18; Tanksaneringscertificaat KIWA betreffende een ondergrondse tank ter plaatse van de Spaarneschool","zie ook Kerklaan 37C"
"358.83",5,4,"",1889,1895,"1889-1895","","1883-1888 zie nr. 3."
"807",5,,"",1879,1958,"1879-1958","Elisabeth Maria Leupen 1873-1937 (54) x Willem Huibert Koomans 1862 - 1958? (55); brieven, trouw- en overlijdenskaarten, krantenknipsels en foto's, bevat ook geschreven artikelen van W.H. Koomans","Dochter van Johannes Leupen (40) en Maria Elizabeth van den Berg (41), zie voorlopig inventarisnummers 41 en 42."
"187",4,1543,"",1834,1834,"","1834 januari-1834 december","Hierin ook maandelijksche betaalsrollen van mindere geëmploijeerden bij den provisioneelen dienst; den temporairen dienst; de jachten en werkvaartuigen; van de temporair aangenomen baggerlieden; en van de onderdaggelders, behoorende tot de door den equipagemeester gehouden wordende betaalsrollen over 1834; zie de nummers 1563*****, 1565*****, 1581*****, 1581a***** en 1581b***"
"187",4,1581,"b",1834,1834,"","***. 1834 januari-1834 december","Hierin ook maandelijksche betaalsrollen van mindere geëmploijeerden bij den algemeenen dienst; den provisioneelen dienst; den temporairen dienst; de jachten en werkvaartuigen, en van de temporair aangenomen baggerlieden over 1834, zie de nummers 1543, 1563*****, 1565*****, 1581***** en 1581a*****"
"187",4,4319,"",1903,1906,"","*** 1903 augustus 26-1906 oktober 3","Is opgenomen in het administratieboek over 1903-1906, zie nummer 4323"
"187",4,4321,"",1892,1895,"","1892-1895","De opgaaf der voorgevallen veranderingen ontbreekt. Hierin ook: copie-inkomende brieven bij den bevelhebbern van het detachement en een agenda op zijn uitgaande brieven over 1892 oktober 11-1895 maart 19, en 1894 maart 8-1895 oktober 17, zie de nummers 4319****** en 4319*"
"198",4,,"--",1886,1892,"","1886, okt. 21-1892, jan. 9","zie inv.nr.797"
"2046",4,467,"",1930,1938,"1930-1938","Akte van erfpacht en voorschot, met bijlagen","zie ook nummer 479"
"3872",4,210,"",1922,1922,"1922","F. Willemse, Voorweg","zie ook inv.nr. 185"
"2484",4,2705,"HBA",1863,1865,"1863 t/m 1865","","Voor 1744-1746, zie 30-2; 1783-1792, zie 49-1 en -2 ALL"
"2396",4,217,"",1770,1771,"1770-1771","II","Voor eigentijdse index zie voorgaand nummer."
"5001",5,,"",,,"","Zie voor stukken betreffende verontreiniging van de lucht in de Generaal Cronjéstraat: inv.nrs. 11830-11832",""
"3388",5,387,"",1936,1936,"1936 november 5","Rectificatie akte overdracht d.d. 29 juli 1936 (inv.nr. 382a) en akte van overdracht gedeelte Duinvlietstraat door NV Bouw- en Exploitatiemaatschappij v/h Smit en Riezenkamp aan de gemeente Velsen",""
"1028",5,17,"",,,"","1450-1571 (nrs. 238 (1501)-389 (1571) uit 'oorspr. (inv.nr. ...)', getypt",""
"1647",5,19,"",,,"z.j.","Slagplaat behorende bij voorzittershamer (inv.nr. 20)",""
"1573",4,444,"",1561,1561,"","1561. Bevat tevens dezelfde bijlagen als inv. 443",""
"476",4,706,"",1906,1906,"","1906, inv.nrs 1-162","Deze bescheiden zijn op microfiche en/of als scan in de studiezaal van het Noord-Hollands archief."
